,V1
2600,NK Cells
2601,CD4 Naive and regulatory T-Cells
2602,NK Cells
2603,CD8 Naive T-cClls
2604,CD8 Memory T-Cells
2605,CD8 Memory T-Cells
2606,CD14 Monocytes
2607,CD4 Naive and regulatory T-Cells
2608,CD4 Naive and regulatory T-Cells
2609,CD14 Monocytes
2610,CD4 Naive and regulatory T-Cells
2611,CD8 Memory T-Cells
2612,Mature B-Cells
2613,NK Cells
2614,Mature B-Cells
2615,Conventional Dendritic Cells (cDC)
2616,CD4 Naive and regulatory T-Cells
2617,Mature B-Cells
2618,CD4 Memory T-Cells 
2619,CD14 Monocytes
2620,Early Erythroid Precursors
2621,Early Erythrocytes
2622,Late Erythrocytes
2623,CD4 Naive and regulatory T-Cells
2624,CD4 Memory T-Cells 
2625,CD4 Memory T-Cells 
2626,CD16 Monocytes
2627,CD8 Memory T-Cells
2628,CD4 Naive and regulatory T-Cells
2629,CD4 Naive and regulatory T-Cells
2630,Late Erythrocytes
2631,CD4 Naive and regulatory T-Cells
2632,Mature B-Cells
2633,Monocyte Progenitor Cells
2634,CD4 Memory T-Cells 
2635,Late Erythrocytes
2636,CD4 Naive and regulatory T-Cells
2637,Early Erythrocytes
2638,Early Erythroid Precursors
2639,Late Erythroid Precursors
2640,CD4 Memory T-Cells 
2641,CD8 Memory T-Cells
2642,CD8 Memory T-Cells
2643,NK Cells
2644,Late Erythrocytes
2645,Monocyte Progenitor Cells
2646,Early Erythroid Precursors
2647,CD16 Monocytes
2648,CD4 Naive and regulatory T-Cells
2649,CD4 Naive and regulatory T-Cells
2650,CD4 Naive and regulatory T-Cells
2651,Late Erythrocytes
2652,Late Erythrocytes
2653,CD8 Memory T-Cells
2654,CD4 Naive and regulatory T-Cells
2655,CD8 Memory T-Cells
2656,CD4 Naive and regulatory T-Cells
2657,Hematopoietic stem and progenitor cells (HSPC)
2658,Mature B-Cells
2659,Late Erythrocytes
2660,CD4 Memory T-Cells 
2661,CD14 Monocytes
2662,B-cells (Plasma cell)
2663,CD8 Naive T-cClls
2664,Conventional Dendritic Cells (cDC)
2665,NK Cells
2666,Late Erythrocytes
2667,CD4 Naive and regulatory T-Cells
2668,NK Cells
2669,CD4 Naive and regulatory T-Cells
2670,CD14 Monocytes
2671,CD4 Naive and regulatory T-Cells
2672,CD8 Naive T-cClls
2673,Late Erythroid Precursors
2674,CD4 Naive and regulatory T-Cells
2675,CD4 Memory T-Cells 
2676,NK Cells
2677,CD4 Naive and regulatory T-Cells
2678,Early Erythroid Precursors
2679,CD4 Naive and regulatory T-Cells
2680,Late Erythroid Precursors
2681,Late Erythroid Precursors
2682,Monocyte Progenitor Cells
2683,CD4 Naive and regulatory T-Cells
2684,CD14 Monocytes
2685,Mature B-Cells
2686,CD8 Naive T-cClls
2687,Hematopoietic stem and progenitor cells (HSPC)
2688,Mature B-Cells
2689,Early Erythroid Precursors
2690,CD8 Memory T-Cells
2691,Late Erythroid Precursors
2692,Hematopoietic stem and progenitor cells (HSPC)
2693,B-cells (Plasma cell)
2694,B-Cell Progenitors
2695,CD8 Memory T-Cells
2696,Late Erythroid Precursors
2697,CD8 Memory T-Cells
2698,CD4 Naive and regulatory T-Cells
2699,Early Erythrocytes
2700,CD4 Naive and regulatory T-Cells
2701,CD4 Memory T-Cells 
2702,Late Erythrocytes
2703,Late Erythroid Precursors
2704,CD4 Naive and regulatory T-Cells
2705,Early Erythrocytes
2706,CD4 Naive and regulatory T-Cells
2707,CD4 Naive and regulatory T-Cells
2708,CD14 Monocytes
2709,Late Erythroid Precursors
2710,CD8 Naive T-cClls
2711,NK Cells
2712,Late Erythrocytes
2713,CD4 Naive and regulatory T-Cells
2714,Late Erythroid Precursors
2715,CD8 Memory T-Cells
2716,CD4 Naive and regulatory T-Cells
2717,CD4 Naive and regulatory T-Cells
2718,CD14 Monocytes
2719,NK Cells
2720,NK Cells
2721,CD4 Naive and regulatory T-Cells
2722,CD8 Memory T-Cells
2723,Early Erythrocytes
2724,CD4 Naive and regulatory T-Cells
2725,NK Cells
2726,Mature B-Cells
2727,CD4 Naive and regulatory T-Cells
2728,CD4 Naive and regulatory T-Cells
2729,Late Erythrocytes
2730,CD4 Memory T-Cells 
2731,Mature B-Cells
2732,CD4 Naive and regulatory T-Cells
2733,CD4 Memory T-Cells 
2734,Mature B-Cells
2735,CD4 Memory T-Cells 
2736,CD8 Memory T-Cells
2737,CD14 Monocytes
2738,Early Erythrocytes
2739,CD4 Naive and regulatory T-Cells
2740,Hematopoietic stem and progenitor cells (HSPC)
2741,CD8 Naive T-cClls
2742,CD4 Memory T-Cells 
2743,CD4 Naive and regulatory T-Cells
2744,CD8 Naive T-cClls
2745,CD4 Naive and regulatory T-Cells
2746,CD8 Naive T-cClls
2747,CD4 Naive and regulatory T-Cells
2748,CD4 Memory T-Cells 
2749,CD8 Naive T-cClls
2750,Early Erythroid Precursors
2751,CD4 Naive and regulatory T-Cells
2752,CD8 Naive T-cClls
2753,CD4 Naive and regulatory T-Cells
2754,CD4 Naive and regulatory T-Cells
2755,CD8 Naive T-cClls
2756,CD14 Monocytes
2757,Late Erythroid Precursors
2758,CD8 Memory T-Cells
2759,Late Erythroid Precursors
2760,CD4 Naive and regulatory T-Cells
2761,CD8 Naive T-cClls
2762,CD4 Naive and regulatory T-Cells
2763,CD8 Memory T-Cells
2764,CD4 Memory T-Cells 
2765,CD4 Memory T-Cells 
2766,NK Cells
2767,CD16 Monocytes
2768,CD8 Memory T-Cells
2769,CD4 Naive and regulatory T-Cells
2770,CD14 Monocytes
2771,CD16 Monocytes
2772,CD16 Monocytes
2773,CD4 Memory T-Cells 
2774,CD8 Naive T-cClls
2775,Mature B-Cells
2776,NK Cells
2777,CD8 Memory T-Cells
2778,CD4 Naive and regulatory T-Cells
2779,CD4 Memory T-Cells 
2780,CD4 Naive and regulatory T-Cells
2781,CD4 Naive and regulatory T-Cells
2782,CD4 Naive and regulatory T-Cells
2783,CD8 Naive T-cClls
2784,NK Cells
2785,CD14 Monocytes
2786,NK Cells
2787,Late Erythrocytes
2788,CD4 Naive and regulatory T-Cells
2789,Late Erythrocytes
2790,CD8 Memory T-Cells
2791,CD4 Naive and regulatory T-Cells
2792,CD14 Monocytes
2793,CD4 Memory T-Cells 
2794,CD8 Memory T-Cells
2795,CD4 Naive and regulatory T-Cells
2796,CD8 Naive T-cClls
2797,Mature B-Cells
2798,Monocyte Progenitor Cells
2799,CD4 Memory T-Cells 
2800,CD8 Memory T-Cells
2801,CD14 Monocytes
2802,Mature B-Cells
2803,Mature B-Cells
2804,Conventional Dendritic Cells (cDC)
2805,CD4 Naive and regulatory T-Cells
2806,Late Erythroid Precursors
2807,CD4 Naive and regulatory T-Cells
2808,Early Erythrocytes
2809,CD14 Monocytes
2810,CD4 Naive and regulatory T-Cells
2811,CD4 Naive and regulatory T-Cells
2812,NK Cells
2813,CD8 Naive T-cClls
2814,Late Erythrocytes
2815,B-Cell Progenitors
2816,Hematopoietic stem and progenitor cells (HSPC)
2817,NK Cells
2818,CD4 Memory T-Cells 
2819,B-Cell Progenitors
2820,CD4 Memory T-Cells 
2821,Mature B-Cells
2822,NK Cells
2823,CD8 Naive T-cClls
2824,CD4 Naive and regulatory T-Cells
2825,CD4 Naive and regulatory T-Cells
2826,CD4 Naive and regulatory T-Cells
2827,CD8 Memory T-Cells
2828,CD4 Memory T-Cells 
2829,Late Erythrocytes
2830,Late Erythroid Precursors
2831,CD4 Memory T-Cells 
2832,CD4 Naive and regulatory T-Cells
2833,NK Cells
2834,CD4 Naive and regulatory T-Cells
2835,CD16 Monocytes
2836,CD8 Memory T-Cells
2837,CD8 Memory T-Cells
2838,CD4 Memory T-Cells 
2839,CD8 Memory T-Cells
2840,NK Cells
2841,Late Erythroid Precursors
2842,Monocyte Progenitor Cells
2843,CD4 Naive and regulatory T-Cells
2844,NK Cells
2845,CD4 Naive and regulatory T-Cells
2846,CD4 Naive and regulatory T-Cells
2847,CD4 Naive and regulatory T-Cells
2848,CD4 Naive and regulatory T-Cells
2849,Conventional Dendritic Cells (cDC)
2850,CD4 Memory T-Cells 
2851,CD4 Memory T-Cells 
2852,CD4 Naive and regulatory T-Cells
2853,B-Cell Progenitors
2854,CD4 Memory T-Cells 
2855,CD8 Naive T-cClls
2856,CD14 Monocytes
2857,CD8 Memory T-Cells
2858,CD4 Naive and regulatory T-Cells
2859,NK Cells
2860,CD14 Monocytes
2861,Late Erythrocytes
2862,Early Erythroid Precursors
2863,CD4 Memory T-Cells 
2864,Hematopoietic stem and progenitor cells (HSPC)
2865,Late Erythrocytes
2866,Mature B-Cells
2867,CD16 Monocytes
2868,Late Erythrocytes
2869,CD4 Naive and regulatory T-Cells
2870,CD4 Memory T-Cells 
2872,Late Erythroid Precursors
2873,Late Erythroid Precursors
2874,CD8 Naive T-cClls
2875,CD4 Memory T-Cells 
2876,CD4 Naive and regulatory T-Cells
2877,CD4 Memory T-Cells 
2878,CD8 Naive T-cClls
2879,CD4 Naive and regulatory T-Cells
2880,CD8 Memory T-Cells
2881,CD4 Memory T-Cells 
2882,Conventional Dendritic Cells (cDC)
2883,Early Erythroid Precursors
2884,Monocyte Progenitor Cells
2885,B-cells (Plasma cell)
2886,Mature B-Cells
2887,CD4 Naive and regulatory T-Cells
2888,Mature B-Cells
2889,Late Erythroid Precursors
2890,CD4 Naive and regulatory T-Cells
2891,Mature B-Cells
2892,CD16 Monocytes
2893,CD4 Naive and regulatory T-Cells
2894,CD4 Naive and regulatory T-Cells
2895,CD4 Naive and regulatory T-Cells
2896,CD4 Naive and regulatory T-Cells
2897,CD14 Monocytes
2898,Late Erythrocytes
2899,CD4 Naive and regulatory T-Cells
2900,CD4 Naive and regulatory T-Cells
2901,CD4 Naive and regulatory T-Cells
2902,CD4 Naive and regulatory T-Cells
2903,CD14 Monocytes
2904,Monocyte Progenitor Cells
2905,CD8 Memory T-Cells
2906,CD4 Naive and regulatory T-Cells
2907,CD4 Naive and regulatory T-Cells
2908,Late Erythroid Precursors
2909,CD8 Naive T-cClls
2910,Late Erythrocytes
2911,CD8 Naive T-cClls
2912,Late Erythroid Precursors
2913,CD4 Naive and regulatory T-Cells
2914,Late Erythrocytes
2915,CD8 Memory T-Cells
2916,CD4 Naive and regulatory T-Cells
2917,Monocyte Progenitor Cells
2918,Late Erythroid Precursors
2919,CD14 Monocytes
2920,CD4 Memory T-Cells 
2921,Late Erythrocytes
2922,CD8 Memory T-Cells
2923,CD4 Naive and regulatory T-Cells
2924,NK Cells
2925,Mature B-Cells
2926,CD16 Monocytes
2927,CD16 Monocytes
2928,CD4 Memory T-Cells 
2929,Early Erythroid Precursors
2930,CD4 Naive and regulatory T-Cells
2932,Mature B-Cells
2933,CD4 Memory T-Cells 
2934,CD4 Naive and regulatory T-Cells
2935,CD16 Monocytes
2936,CD4 Naive and regulatory T-Cells
2937,CD14 Monocytes
2938,CD8 Naive T-cClls
2939,CD4 Naive and regulatory T-Cells
2940,CD8 Naive T-cClls
2941,CD14 Monocytes
2942,Mature B-Cells
2943,CD4 Memory T-Cells 
2944,CD14 Monocytes
2945,Plasmacytoid dendritic cells (pDC)
2946,CD8 Memory T-Cells
2947,CD14 Monocytes
2948,Conventional Dendritic Cells (cDC)
2949,CD4 Naive and regulatory T-Cells
2950,CD8 Memory T-Cells
2951,CD4 Memory T-Cells 
2952,CD14 Monocytes
2953,Hematopoietic stem and progenitor cells (HSPC)
2954,CD8 Memory T-Cells
2955,CD14 Monocytes
2956,Mature B-Cells
2957,NK Cells
2958,NK Cells
2959,CD4 Memory T-Cells 
2960,Mature B-Cells
2961,CD8 Naive T-cClls
2962,NK Cells
2963,B-Cell Progenitors
2964,CD8 Naive T-cClls
2965,NK Cells
2966,CD8 Naive T-cClls
2967,CD8 Memory T-Cells
2968,CD4 Naive and regulatory T-Cells
2969,CD8 Memory T-Cells
2970,CD4 Naive and regulatory T-Cells
2971,Early Erythroid Precursors
2972,Late Erythrocytes
2973,CD4 Naive and regulatory T-Cells
2974,CD4 Naive and regulatory T-Cells
2975,Late Erythroid Precursors
2976,Early Erythrocytes
2977,CD8 Naive T-cClls
2978,Late Erythroid Precursors
2979,CD4 Naive and regulatory T-Cells
2980,CD8 Memory T-Cells
2981,CD4 Naive and regulatory T-Cells
2982,CD4 Naive and regulatory T-Cells
2983,Late Erythrocytes
2984,CD8 Memory T-Cells
2985,Late Erythroid Precursors
2986,Monocyte Progenitor Cells
2987,CD4 Naive and regulatory T-Cells
2988,CD4 Naive and regulatory T-Cells
2989,CD8 Memory T-Cells
2990,CD8 Memory T-Cells
2991,Late Erythrocytes
2992,CD4 Memory T-Cells 
2993,CD4 Naive and regulatory T-Cells
2994,Late Erythrocytes
2995,CD4 Naive and regulatory T-Cells
2996,Mature B-Cells
2997,NK Cells
2998,CD8 Memory T-Cells
2999,Late Erythrocytes
3000,CD4 Naive and regulatory T-Cells
3001,CD4 Naive and regulatory T-Cells
3002,Conventional Dendritic Cells (cDC)
3003,NK Cells
3004,CD4 Naive and regulatory T-Cells
3005,CD8 Memory T-Cells
3006,CD4 Naive and regulatory T-Cells
3007,CD14 Monocytes
3008,Early Erythroid Precursors
3009,CD4 Naive and regulatory T-Cells
3010,CD4 Naive and regulatory T-Cells
3011,Early Erythroid Precursors
3012,CD4 Memory T-Cells 
3013,Late Erythroid Precursors
3014,CD14 Monocytes
3015,CD4 Naive and regulatory T-Cells
3016,CD14 Monocytes
3017,CD4 Naive and regulatory T-Cells
3018,CD14 Monocytes
3019,CD4 Naive and regulatory T-Cells
3020,CD8 Naive T-cClls
3021,CD4 Naive and regulatory T-Cells
3022,CD4 Memory T-Cells 
3023,Hematopoietic stem and progenitor cells (HSPC)
3024,CD4 Memory T-Cells 
3025,CD16 Monocytes
3026,Late Erythrocytes
3027,CD4 Naive and regulatory T-Cells
3028,CD4 Naive and regulatory T-Cells
3029,CD16 Monocytes
3030,B-Cell Progenitors
3031,Late Erythroid Precursors
3032,CD4 Naive and regulatory T-Cells
3033,CD4 Naive and regulatory T-Cells
3034,Late Erythrocytes
3035,Plasmacytoid dendritic cells (pDC)
3036,CD4 Naive and regulatory T-Cells
3037,Late Erythroid Precursors
3038,Mature B-Cells
3039,CD8 Memory T-Cells
3040,CD4 Naive and regulatory T-Cells
3041,CD4 Memory T-Cells 
3042,CD4 Naive and regulatory T-Cells
3043,CD14 Monocytes
3044,Early Erythrocytes
3045,CD4 Memory T-Cells 
3046,CD4 Memory T-Cells 
3047,CD14 Monocytes
3048,CD4 Naive and regulatory T-Cells
3049,Mature B-Cells
3050,Late Erythroid Precursors
3051,Mature B-Cells
3052,CD4 Naive and regulatory T-Cells
3053,CD4 Naive and regulatory T-Cells
3054,CD4 Naive and regulatory T-Cells
3055,CD4 Naive and regulatory T-Cells
3056,CD4 Naive and regulatory T-Cells
3057,NK Cells
3058,CD4 Memory T-Cells 
3059,Monocyte Progenitor Cells
3060,CD4 Naive and regulatory T-Cells
3061,CD4 Memory T-Cells 
3062,CD14 Monocytes
3063,NK Cells
3064,Hematopoietic stem and progenitor cells (HSPC)
3065,CD8 Memory T-Cells
3066,CD14 Monocytes
3067,Late Erythrocytes
3068,Mature B-Cells
3069,Monocyte Progenitor Cells
3070,CD4 Naive and regulatory T-Cells
3071,Early Erythroid Precursors
3072,CD4 Naive and regulatory T-Cells
3073,CD4 Memory T-Cells 
3074,Late Erythrocytes
3075,CD4 Naive and regulatory T-Cells
3076,Late Erythrocytes
3077,CD14 Monocytes
3078,CD4 Naive and regulatory T-Cells
3079,Conventional Dendritic Cells (cDC)
3080,B-Cell Progenitors
3081,CD4 Naive and regulatory T-Cells
3082,CD14 Monocytes
3083,NK Cells
3084,CD4 Memory T-Cells 
3085,Late Erythrocytes
3086,Late Erythroid Precursors
3087,B-Cell Progenitors
3088,CD8 Naive T-cClls
3089,CD8 Naive T-cClls
3090,CD8 Memory T-Cells
3091,CD4 Naive and regulatory T-Cells
3092,CD4 Naive and regulatory T-Cells
3093,Mature B-Cells
3094,CD8 Memory T-Cells
3095,Late Erythroid Precursors
3096,CD4 Naive and regulatory T-Cells
3097,NK Cells
3098,CD4 Naive and regulatory T-Cells
3099,CD8 Memory T-Cells
3100,CD8 Memory T-Cells
3101,CD4 Naive and regulatory T-Cells
3102,Hematopoietic stem and progenitor cells (HSPC)
3103,CD4 Memory T-Cells 
3104,Early Erythroid Precursors
3105,CD8 Memory T-Cells
3106,CD4 Memory T-Cells 
3107,Hematopoietic stem and progenitor cells (HSPC)
3108,CD8 Memory T-Cells
3109,Late Erythroid Precursors
3110,CD14 Monocytes
3111,Late Erythrocytes
3112,Early Erythroid Precursors
3113,CD4 Naive and regulatory T-Cells
3114,Late Erythrocytes
3115,Early Erythrocytes
3116,Late Erythrocytes
3117,CD4 Naive and regulatory T-Cells
3118,CD4 Naive and regulatory T-Cells
3119,CD4 Naive and regulatory T-Cells
3120,CD14 Monocytes
3121,Mature B-Cells
3122,CD14 Monocytes
3123,CD4 Naive and regulatory T-Cells
3124,Late Erythrocytes
3125,B-Cell Progenitors
3126,CD4 Naive and regulatory T-Cells
3127,CD14 Monocytes
3128,Conventional Dendritic Cells (cDC)
3129,CD4 Naive and regulatory T-Cells
3130,CD8 Naive T-cClls
3131,CD4 Memory T-Cells 
3132,CD8 Memory T-Cells
3133,Mature B-Cells
3134,CD4 Naive and regulatory T-Cells
3135,CD4 Memory T-Cells 
3136,CD4 Naive and regulatory T-Cells
3137,CD14 Monocytes
3138,Early Erythroid Precursors
3139,Late Erythrocytes
3140,CD4 Memory T-Cells 
3141,CD4 Memory T-Cells 
3142,CD4 Naive and regulatory T-Cells
3143,CD4 Memory T-Cells 
3144,CD14 Monocytes
3145,Early Erythrocytes
3146,CD4 Naive and regulatory T-Cells
3147,CD14 Monocytes
3148,CD4 Naive and regulatory T-Cells
3149,CD8 Naive T-cClls
3150,CD4 Naive and regulatory T-Cells
3151,CD8 Naive T-cClls
3152,Late Erythrocytes
3153,CD4 Memory T-Cells 
3154,CD4 Naive and regulatory T-Cells
3155,Late Erythrocytes
3156,NK Cells
3157,B-Cell Progenitors
3158,Late Erythrocytes
3159,CD14 Monocytes
3160,CD4 Naive and regulatory T-Cells
3161,CD4 Memory T-Cells 
3162,Mature B-Cells
3163,Late Erythrocytes
3164,CD4 Naive and regulatory T-Cells
3165,CD16 Monocytes
3166,CD14 Monocytes
3167,Plasmacytoid dendritic cells (pDC)
3168,CD4 Memory T-Cells 
3169,Mature B-Cells
3170,CD8 Memory T-Cells
3171,CD14 Monocytes
3172,CD16 Monocytes
3173,CD8 Naive T-cClls
3174,CD8 Memory T-Cells
3175,CD16 Monocytes
3176,CD16 Monocytes
3177,CD4 Naive and regulatory T-Cells
3178,CD16 Monocytes
3179,CD8 Memory T-Cells
3180,CD4 Naive and regulatory T-Cells
3181,CD4 Naive and regulatory T-Cells
3182,CD8 Memory T-Cells
3183,CD8 Memory T-Cells
3184,CD4 Naive and regulatory T-Cells
3185,CD4 Memory T-Cells 
3186,Monocyte Progenitor Cells
3187,CD4 Naive and regulatory T-Cells
3188,CD4 Memory T-Cells 
3189,CD14 Monocytes
3190,CD16 Monocytes
3191,Mature B-Cells
3192,CD4 Memory T-Cells 
3193,Monocyte Progenitor Cells
3194,CD4 Naive and regulatory T-Cells
3195,CD4 Memory T-Cells 
3196,Plasmacytoid dendritic cells (pDC)
3197,CD4 Naive and regulatory T-Cells
3198,CD8 Naive T-cClls
3199,CD8 Memory T-Cells
3200,CD4 Naive and regulatory T-Cells
3201,Early Erythroid Precursors
3202,Early Erythroid Precursors
3203,Mature B-Cells
3204,CD14 Monocytes
3205,NK Cells
3206,CD4 Memory T-Cells 
3207,CD4 Naive and regulatory T-Cells
3208,Early Erythrocytes
3209,CD4 Naive and regulatory T-Cells
3210,Late Erythrocytes
3211,CD16 Monocytes
3212,Late Erythrocytes
3213,Late Erythrocytes
3214,CD4 Memory T-Cells 
3215,Mature B-Cells
3216,CD8 Memory T-Cells
3217,CD8 Memory T-Cells
3218,CD4 Memory T-Cells 
3219,CD14 Monocytes
3220,Mature B-Cells
3221,CD14 Monocytes
3222,Conventional Dendritic Cells (cDC)
3223,Late Erythrocytes
3224,CD8 Naive T-cClls
3225,CD14 Monocytes
3226,Hematopoietic stem and progenitor cells (HSPC)
3227,CD4 Naive and regulatory T-Cells
3228,CD4 Naive and regulatory T-Cells
3229,Plasmacytoid dendritic cells (pDC)
3230,CD4 Naive and regulatory T-Cells
3231,CD4 Memory T-Cells 
3232,CD4 Naive and regulatory T-Cells
3233,Late Erythrocytes
3234,Late Erythroid Precursors
3235,CD4 Naive and regulatory T-Cells
3236,Conventional Dendritic Cells (cDC)
3237,Mature B-Cells
3238,CD4 Naive and regulatory T-Cells
3239,Late Erythrocytes
3240,CD4 Naive and regulatory T-Cells
3241,CD8 Naive T-cClls
3242,Late Erythroid Precursors
3243,Early Erythrocytes
3244,Late Erythrocytes
3245,CD8 Memory T-Cells
3246,CD4 Memory T-Cells 
3247,CD4 Memory T-Cells 
3248,CD4 Memory T-Cells 
3249,CD8 Memory T-Cells
3250,CD14 Monocytes
3251,Mature B-Cells
3252,CD8 Naive T-cClls
3253,CD14 Monocytes
3254,NK Cells
3255,CD4 Memory T-Cells 
3256,CD16 Monocytes
3257,CD8 Memory T-Cells
3258,CD4 Naive and regulatory T-Cells
3259,CD16 Monocytes
3260,CD4 Naive and regulatory T-Cells
3261,NK Cells
3262,Conventional Dendritic Cells (cDC)
3263,CD8 Memory T-Cells
3264,CD4 Naive and regulatory T-Cells
3265,CD8 Naive T-cClls
3266,Late Erythrocytes
3267,CD8 Memory T-Cells
3268,CD4 Memory T-Cells 
3269,Monocyte Progenitor Cells
3270,Conventional Dendritic Cells (cDC)
3271,Late Erythroid Precursors
3272,CD4 Naive and regulatory T-Cells
3273,CD4 Naive and regulatory T-Cells
3274,CD8 Memory T-Cells
3275,CD4 Memory T-Cells 
3276,CD8 Memory T-Cells
3277,CD8 Naive T-cClls
3278,Monocyte Progenitor Cells
3279,CD4 Memory T-Cells 
3280,CD4 Naive and regulatory T-Cells
3281,NK Cells
3282,CD4 Memory T-Cells 
3283,CD4 Memory T-Cells 
3284,CD4 Naive and regulatory T-Cells
3285,CD16 Monocytes
3286,CD8 Naive T-cClls
3287,CD8 Memory T-Cells
3288,CD8 Memory T-Cells
3289,CD4 Naive and regulatory T-Cells
3290,CD4 Memory T-Cells 
3291,Early Erythroid Precursors
3292,CD4 Memory T-Cells 
3293,B-cells (Plasma cell)
3294,NK Cells
3295,CD8 Memory T-Cells
3296,Conventional Dendritic Cells (cDC)
3297,CD14 Monocytes
3298,CD8 Memory T-Cells
3299,CD4 Naive and regulatory T-Cells
3300,CD16 Monocytes
3301,CD4 Naive and regulatory T-Cells
3302,Mature B-Cells
3303,Monocyte Progenitor Cells
3304,CD4 Memory T-Cells 
3305,CD4 Naive and regulatory T-Cells
3306,NK Cells
3307,CD8 Memory T-Cells
3308,CD4 Naive and regulatory T-Cells
3309,Mature B-Cells
3310,Hematopoietic stem and progenitor cells (HSPC)
3311,CD4 Memory T-Cells 
3312,Late Erythroid Precursors
3313,Hematopoietic stem and progenitor cells (HSPC)
3314,Early Erythroid Precursors
3315,Late Erythroid Precursors
3316,CD16 Monocytes
3317,CD8 Naive T-cClls
3318,CD8 Naive T-cClls
3319,CD4 Naive and regulatory T-Cells
3320,CD8 Memory T-Cells
3321,Mature B-Cells
3322,Conventional Dendritic Cells (cDC)
3323,Late Erythrocytes
3324,B-cells (Plasma cell)
3325,CD4 Naive and regulatory T-Cells
3326,CD4 Naive and regulatory T-Cells
3327,CD4 Memory T-Cells 
3328,Late Erythroid Precursors
3329,Late Erythrocytes
3330,CD8 Naive T-cClls
3331,Conventional Dendritic Cells (cDC)
3332,CD14 Monocytes
3333,CD14 Monocytes
3335,CD4 Naive and regulatory T-Cells
3336,CD8 Memory T-Cells
3337,CD14 Monocytes
3338,Mature B-Cells
3339,CD8 Memory T-Cells
3340,CD14 Monocytes
3341,CD4 Naive and regulatory T-Cells
3342,CD8 Memory T-Cells
3343,CD4 Naive and regulatory T-Cells
3344,Early Erythrocytes
3345,CD14 Monocytes
3346,CD4 Memory T-Cells 
3347,B-Cell Progenitors
3348,Late Erythrocytes
3349,CD4 Naive and regulatory T-Cells
3350,NK Cells
3351,CD8 Naive T-cClls
3352,CD4 Naive and regulatory T-Cells
3353,CD4 Naive and regulatory T-Cells
3354,CD4 Memory T-Cells 
3355,CD14 Monocytes
3356,Monocyte Progenitor Cells
3357,CD4 Memory T-Cells 
3358,CD16 Monocytes
3359,CD4 Naive and regulatory T-Cells
3360,CD4 Naive and regulatory T-Cells
3361,Hematopoietic stem and progenitor cells (HSPC)
3362,CD8 Memory T-Cells
3363,CD4 Naive and regulatory T-Cells
3364,CD4 Memory T-Cells 
3365,CD8 Memory T-Cells
3366,CD4 Naive and regulatory T-Cells
3367,NK Cells
3368,CD8 Memory T-Cells
3369,CD4 Naive and regulatory T-Cells
3370,CD4 Naive and regulatory T-Cells
3371,Late Erythrocytes
3372,CD4 Naive and regulatory T-Cells
3373,Late Erythrocytes
3374,CD4 Naive and regulatory T-Cells
3375,CD16 Monocytes
3376,CD8 Memory T-Cells
3377,Hematopoietic stem and progenitor cells (HSPC)
3379,Late Erythrocytes
3380,CD4 Memory T-Cells 
3381,CD8 Naive T-cClls
3382,CD4 Naive and regulatory T-Cells
3383,CD4 Memory T-Cells 
3384,Monocyte Progenitor Cells
3385,CD8 Naive T-cClls
3386,CD4 Naive and regulatory T-Cells
3387,Late Erythrocytes
3388,CD16 Monocytes
3389,CD4 Memory T-Cells 
3390,Monocyte Progenitor Cells
3391,CD4 Naive and regulatory T-Cells
3392,Hematopoietic stem and progenitor cells (HSPC)
3393,CD8 Memory T-Cells
3394,CD4 Naive and regulatory T-Cells
3395,CD8 Memory T-Cells
3396,Early Erythroid Precursors
3397,CD8 Naive T-cClls
3398,CD14 Monocytes
3399,CD4 Naive and regulatory T-Cells
3400,Mature B-Cells
3401,CD4 Memory T-Cells 
3402,Late Erythrocytes
3403,CD8 Naive T-cClls
3404,Early Erythroid Precursors
3406,Early Erythroid Precursors
3407,Late Erythrocytes
3408,Late Erythrocytes
3409,CD8 Memory T-Cells
3410,CD4 Naive and regulatory T-Cells
3411,CD14 Monocytes
3412,Mature B-Cells
3413,CD4 Memory T-Cells 
3414,CD4 Naive and regulatory T-Cells
3415,CD4 Naive and regulatory T-Cells
3416,Late Erythrocytes
3417,CD4 Memory T-Cells 
3418,CD4 Naive and regulatory T-Cells
3419,CD8 Naive T-cClls
3420,Late Erythroid Precursors
3421,CD4 Naive and regulatory T-Cells
3422,NK Cells
3423,Late Erythroid Precursors
3424,CD16 Monocytes
3425,CD8 Memory T-Cells
3426,CD4 Naive and regulatory T-Cells
3427,CD4 Naive and regulatory T-Cells
3428,CD4 Naive and regulatory T-Cells
3429,CD4 Memory T-Cells 
3430,CD4 Naive and regulatory T-Cells
3431,CD4 Memory T-Cells 
3432,CD14 Monocytes
3433,CD4 Memory T-Cells 
3434,CD4 Memory T-Cells 
3435,Late Erythroid Precursors
3436,B-Cell Progenitors
3437,CD4 Naive and regulatory T-Cells
3438,CD4 Memory T-Cells 
3439,CD4 Naive and regulatory T-Cells
3440,CD4 Memory T-Cells 
3441,Mature B-Cells
3442,CD8 Naive T-cClls
3443,Early Erythroid Precursors
3444,Late Erythroid Precursors
3445,CD8 Naive T-cClls
3446,CD8 Memory T-Cells
3447,CD4 Naive and regulatory T-Cells
3448,Late Erythrocytes
3449,Early Erythrocytes
3450,CD8 Naive T-cClls
3451,CD8 Naive T-cClls
3452,CD4 Naive and regulatory T-Cells
3453,Late Erythrocytes
